obj,lowerBound,time,img,method,nn_id
-7.552047795960029,-3.674866436659972,322.269,12,cayley,5
-7.552047795960029,-3.674866436659972,322.269,12,cayley,5
-7.552047795960029,-3.674866436659972,322.269,12,cayley,5
-7.552047795960029,-3.674866436659972,322.27,12,cayley,5
-7.552047795960029,-3.674866436659972,322.27,12,cayley,5
-7.552047795960029,-3.674866436659972,322.27,12,cayley,5
-7.552047795960029,-3.674866436659972,322.27,12,cayley,5
-7.552047795960029,-3.674866436659972,322.271,12,cayley,5
-7.552047795960029,-3.674866436659972,322.271,12,cayley,5
-7.552047795960029,-3.674866436659972,322.271,12,cayley,5
-7.552047795960029,-3.674866436659972,322.271,12,cayley,5
-7.552047795960029,-3.674866436659972,322.271,12,cayley,5
-7.552047795960029,-3.674866436659972,322.272,12,cayley,5
-7.552047795960029,-3.674866436659972,322.272,12,cayley,5
-7.552047795960029,-3.674866436659972,322.273,12,cayley,5
-7.552047795960029,-3.674866436659972,322.273,12,cayley,5
-7.552047795960029,-3.674866436659972,322.273,12,cayley,5
-7.552047795960029,-3.674866436659972,322.274,12,cayley,5
-7.552047795960029,-3.674866436659972,322.275,12,cayley,5
-7.552047795960029,-3.674866436659972,322.276,12,cayley,5
-7.552047795960029,-3.674866436659972,322.276,12,cayley,5
-7.552047795960029,-3.676225880094822,322.276,12,cayley,5
-7.552047795960029,-3.676225880094822,322.277,12,cayley,5
-7.552047795960029,-3.676225880094822,322.277,12,cayley,5
-7.552047795960029,-3.676225880094822,322.277,12,cayley,5
-7.552047795960029,-3.676225880094822,322.278,12,cayley,5
-7.552047795960029,-3.676225880094822,322.278,12,cayley,5
-7.552047795960029,-3.676225880094822,322.287,12,cayley,5
-7.552047795960029,-3.676225880094822,322.288,12,cayley,5
-7.552047795960029,-3.676225880094822,322.297,12,cayley,5
-7.552047795960029,-3.676225880094822,322.298,12,cayley,5
-7.552047795960029,-3.676225880094822,322.298,12,cayley,5
-7.552047795960029,-3.676225880094822,322.298,12,cayley,5
-7.552047795960029,-3.676225880094822,322.298,12,cayley,5
-7.552047795960029,-3.676225880094822,322.299,12,cayley,5
-7.552047795960029,-3.676225880094822,322.299,12,cayley,5
-7.552047795960029,-3.676225880094822,322.3,12,cayley,5
-7.552047795960029,-3.676225880094822,322.3,12,cayley,5
-7.552047795960029,-3.676225880094822,322.3,12,cayley,5
-7.552047795960029,-3.676225880094822,322.3,12,cayley,5
-7.552047795960029,-3.676225880094822,322.301,12,cayley,5
-7.552047795960029,-3.676225880094822,322.301,12,cayley,5
-7.552047795960029,-3.676225880094822,322.301,12,cayley,5
-7.552047795960029,-3.676225880094822,322.301,12,cayley,5
-7.552047795960029,-3.676225880094822,322.302,12,cayley,5
-7.552047795960029,-3.676225880094822,322.302,12,cayley,5
-7.552047795960029,-3.676225880094822,322.302,12,cayley,5
-7.552047795960029,-3.676225880094822,322.302,12,cayley,5
